"filename", "language", "JSON with Comments", "Batch", "JavaScript", "Markdown", "XML", "Java Properties", "Vue", "Java", "JSON", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\compiler.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\encodings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\misc.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\src.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\babel.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\jest.config.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\jsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 17022, 0, 0, 0, 0, 1, 17023
