"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\App.vue", "Vue", 140, 0, 6, 17, 163
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\App_.vue", "Vue", 114, 0, 3, 12, 129
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\AllEvent.vue", "Vue", 198, 0, 18, 26, 242
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\ChatWindow.vue", "Vue", 102, 0, 6, 15, 123
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\ChatWindow_.vue", "Vue", 105, 0, 5, 13, 123
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\InputWindow.vue", "Vue", 90, 0, 7, 7, 104
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\SideBar.vue", "Vue", 37, 0, 2, 5, 44
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\SideBarComponent\RoomWindow.vue", "Vue", 81, 0, 8, 18, 107
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\TopBar.vue", "Vue", 128, 0, 22, 25, 175
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\TopBarComponents\CreateRoomDialog.vue", "Vue", 67, 0, 16, 16, 99
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\TopBarComponents\LoginDialog.vue", "Vue", 83, 0, 33, 20, 136
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\chatWindowComponent\ChatBubble.vue", "Vue", 94, 0, 18, 15, 127
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\ChessButton.vue", "Vue", 43, 0, 7, 6, 56
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\ChessGame.vue", "Vue", 178, 0, 7, 9, 194
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\EmojiButton.vue", "Vue", 51, 0, 7, 7, 65
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\EmojiWindow.vue", "Vue", 35, 0, 2, 4, 41
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\FileUploadButton.vue", "Vue", 46, 0, 6, 5, 57
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\TextInput.vue", "Vue", 83, 0, 21, 10, 114
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\config\componentsSize.js", "JavaScript", 0, 0, 0, 1, 1
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\main.js", "JavaScript", 0, 8, 2, 3, 13
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\router\index.js", "JavaScript", 0, 22, 0, 6, 28
"Total", "-", 1675, 30, 196, 240, 2141
