"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "HTML", "XML", "JSON", "CSS", "Vue", "YAML", "comment", "blank", "total"
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\CONTRIBUTING.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 2, 14
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 22, 17, 66
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\SECURITY.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 5, 33
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\HOW_TO_PLAY.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\README.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 42, 124
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 26, 2, 41
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\package-lock.json", "JSON", 0, 0, 0, 0, 0, 10076, 0, 0, 0, 0, 1, 10077
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\package.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 323, 0, 4, 50, 377
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\src\assets\github-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\src\assets\instagram-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\大三下\软件工程\bighw\vue_trash\snake-vue3-development\src\assets\linkedin-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
